,year,text,sender,sentiment,emotion
0,1921,boulevard raspail parigi vii caro signor schmitz l episodio di circe fu finito tempo fa ma quattro dattilografe rifiutarono di copiarmelo finalmente si presentò una quinta la quale però lavora molto lentamente sicché il lavoro non sarà pronto prima della fine di questo mese mi si dice conterrà pagine forma commerciale l episodio di eumeo il quale è quasi finito sarà pronto anche verso la fine del mese secondo il piano stabilito dal mio avvocato a nuova york ulisse uscirà colà verso i giugno p v in un edizione privata e limitata a esemplari dei quali per l europa il prezzo sarà di dollari risp ettivamente sterline l esemplare percepisco sterline come tacitazione contemporaneamente però si preparano articoli ed articoli per sfondare la cittadella non so con quale risultato e poco m importa ora l importante non posso muovermi di qui come credevo di poter fare prima di maggio infatti da mesi e mesi non vado a letto prima delle o le di mattina lavorando senza tregua avrò presto esaurito gli appunti che portai qui con me per scrivere questi due episodi c è a trieste nel quartiere di mio cognato l immobile segnato col numero politico e tavolare di via sanità e precisamente situato al terzo piano del suddetto immobile nella camera da letto attualmente occupata da mio fratello a ridosso dell immobile in parola e prospettante i postriboli di pubblica insicurezza una mappa di tela cerata legata con un nastro elastico di colore addome di suora di carità avente le dimensioni approssimative di cm per cm in codesta mappa riposai i segni simbolici dei languidi lampi che talvolta balenarono nell alma mia il peso lordo senza tara è stimato a chilogrammi avendo bisogno urgente di questi appunti per l ultimazione del mio lavoro letterario intitolato ulisse ossia sua mare grega rivolgo cortese istanza a lei colendissimo collega pregandola di farmi sapere se qualcuno della sua famiglia si propone di recarsi prossimamente a parigi nel quale caso sarei gratissimo se la persona di cui sopra vorrebbe avere la squisitezza di portarmi la mappa indicata a tergo dunque caro signor schmitz se ghe xe qualchedun di suafamiglia che viaggia per ste parti la mi faria un regalo portando quel fagotto che non xe pesante gnanca per sogno parche la mi capisse xe pien de carte che mi go scritto pulido cola pena e qualchevolta anca col bleistiff quando no iera pena ma ocio a no sbregar el lastico parche allora nasserà confusion fra le carte el meio saria de cior na valigia che si poi serrar cola clave che nissun poi verzer ne ghe xe tante di ste trappole da vender da greiniz neffen rente al piccolo che paga mio fradel el professore della berlitz cui ogni modo la mi scrìva un per dì parole dai come la magnemo revoltella me ga scritto disendo che xe muli da saminar par zinque fliche ognedun e dopo i xe dotorì de revoltella e che mi vegno là de lu per dar lori l aufgabe par inglese a zinque fliche ma non go risposto parche iera una monada e po la marca mi vegnaria costar cola carta tre fliche come che xe vale coi bori e mi avanzarla do fliche per cior el treno e magnar e bever tre giorni cossa la voi che sia saluti cordiali e scusi se il mio cervelletto esaurito si diverte un pochino ogni tanto mi scriva presto prego james joyce,James Joyce,negative,sadness
1,1924,victoria palace hotel rue blaise des gojjes paris rue de rennes caro amico sono andato alla stazione ma nessun treno era in arrivo nemmeno ritardato all ora indicatami ne ero molto dispiacente quando ripasserà per parigi non potrebbe pernottare qui grazie del romanzo con la dedica ne ho due esemplari anzi avendo già ordinato uno da trieste sto leggendolo con molto piacere perché si dispera deve sapere eh è di gran lunga il suo migliore libro quanto alla critica italiana non so ma faccia mandare degli esemplari di stampa a m valery larbaud chez nouvelle revue francaise rue de grenelle paris m benjamin crémieux chez revue de france troverà l indirizzo su un esemplare mr t s eliot editor criterion clarence gate mansion upper baker street london m f m ford the transatlantic review quai d angon paris parlerò o scriverò in proposito con questi letterati potrò scrivere più quando avrò finito per ora due cose mi interessano il tema non avrei mai pensato che il fumare potesse dominare una persona in quel modo secondo il trattamento del tempo nel romanzo l arguzia non vi manca e vedo che l ultimo capoverso di senilità si angiolina pensa e piange ecc ha sbocciato grandemente alla chetichella tanti saluti alla signora che si trova costi spero avremo il piacere di vedere loro fra breve una stretta di mano james joyce li gennaio ps anche mr gilbert seldes the dia new york,James Joyce,negative,sadness
2,1924,victoria palace hotel rue blaise des goffes paris rue de rennes caro amico mandi i libri senz altro ho già parlato di lei a larbaud ed a crémieux faccia il mio nome scrivendo a seldes ed eliot mandi anche un esemplare a lauro de bosis presso la rivista la coltura roma ed a enzo ferrieri direttore il convegno via s spirito milano il suo libro sarà certo apprezzato chi non apprezzerà il colendissimo medico dott coprossich sanctificetur nomen suum che si lavò anche il viso ma con quel nome che lei gli ha dato avrebbe dovuto fare ben altri lavacri a proposito di nomi ho dato il nome della signora alla protagonista del libro che sto scrivendo la preghi però di non impugnare né armi bianche né quelle di fuoco giacché si tratta della pirra irlandese o piuttosto dublinese la cui capigliatura è il fiume sul quale si chiama anna liffey sorge la settima città del cristianesimo le sei altre essendo bassovizza clapham junction rena vecia limehouse s odorico nella valle di lacrime e s giacomo in monte di pietà mi rimandi dopo letto il ritaglio accluso saluti cordiali alla sua signora e a lei stesso una stretta di mano james joyce,James Joyce,negative,sadness
3,1924,restaurant des trianons téléphone ségur f cassabel paris le propriétaire place de rennes vie gare montparnasse cuisine renommée bonne cave r c seine caro amico buone notizie m valéry larbaud ha letto il suo romanzo la coscienza di zeno gli piace molto ne scriverà una recensione nella nouvelle revue francaise ne ha scritto anche ad una sua amica la sig a sibilla aleramo della tribuna tanti saluti alla sua signora ed a lei una stretta di mano james joyce,James Joyce,positive,joy
4,1924,gioachino veneziani telefono n indirizzo telegrafico lamoravia trieste trieste li giugno caro amico grazie per la sua del mi dispiace tanto di sentire che lei ha di nuovo bisogno di farsi torturare spero di sentire presto che sta bene parto domani per londra ringrazi larbaud da parte mia e gli dica che può fare del mio romanzo tutto persino tradurlo per intero buona l idea non scrivo al sig larbaud solo per l esperienza fatta che i letterati hanno in genere una cattiva nursery almeno gl italiani e non usano rispondere di quei tre romanzi che mandai ultimamente in italia pare nessuno sia giunto a destinazione io ho il grande torto di occuparmi ancora del mio romanzo tanto più che lo faccio solo col suo intervento e che lei a questo mondo fra soddisfazioni e seccature grandi quella dell operazione ha già abbastanza da fare fatto questo passo presso il sig larbaud lasciamolo correre ambedue il romanzo mi sono procurato ulisse al mio ritorno lo leggerò capitolo per capitolo tentando di viverlo ho la promessa di suo fratello che dopo ogni capitolo lavorato a fondo mi concederà la sua assistenza credo che dopo di lei non potevo trovare un assistente migliore io spero che a londra non dovrò rimanere che settimane saluti cordiali anche alla sua signora ed anche da parte di mia moglie suo devotissimo ettore schmitz a proposito di suo fratello mi disse che fra poco le scriverà sta benissimo e mi consegnò due giornali che di lei parlano,Ettore Schmitz,negative,sadness
5,1924,monsieur ettore schmitz e famiglia presso la fabbrica veneziani chiarbola superiore trieste italie avenue charles floquet paris vii buon natale e ogni bene augura a lei ed a tutta la famiglia dal quartetto triestino james la mogie nora barnacle i figli giorgio e lucia anna james joyce paris,James Joyce,positive,joy
6,1925,square robiac rue de grenelle vii parigi caro schmitz scusi se la mia risposta ha tardato ma questi ultimi giorni avevo scopolamine negli occhi e anch oggi preferisco dettar a lucia essa vi ringrazia molto tanto lei che la signora trevisani fausta veneziani ed io pure la ringrazio per il gentilissimo invito ma purtroppo non può accettarlo per il momento ed ecco perché mercoledì e giovedì prossimo entro alla clinica dove devo subir un operazione la settima in tre anni cateratta secondaria ma conto di esser di ritorno per natale poi passate le feste vogliamo andare a londra per la première ed unica della mia commedia in queste circostanze sarebbe difficile per lucia di assentarsi ci rincresce perché sarebbe stato un soggiorno molto piacevole per lei però l anno prossimo spero di poter andar a passare qualche tempo a trieste ho parlato colla direttrice del navire d argent la quale m assicurò che un brano del suo libro sarà pubblicato nel numero di gennaio o febbraio presentato da crémieux continuo a lavorare malgrado l ostacolo della vista rassicuri la sua signora in quanto riguarda la figura d anna livia di lei non tolsi che la capigliatura e quella soltanto a prestito per addobbare il rigagnolino della mia città l anna liffey che sarebbe il più lungo fiume del mondo se non ci fosse il canal che viene da lontano per sposare il gran divo antonio taumaturgo e poi cambiato parere se ne torna com è venuto tanti saluti cordialissimi a voi tutti quanti una stretta di mano james joyce,James Joyce,negative,sadness
7,1926,londra febbraio caro joyce scrissi all indirizzo indicatomi mandando il biglietto mi si rispose che avevo dimenticato di rimettere la lettera sua e mi si invitava di presentarmi al bigoncio con la stessa la sera della rappresentazione cosi feci e tutto fini bene ebbi due magnifici posti e contrariamente agli usi del paese a macai lo debbo a lei e grazie non del tutto a maca perché mi portarono via la sua lettera tutta la sera fui accompagnato dal delizioso sentimento di assistere allo svolgimento di una sua opera importante tanto differente da tutte le altre sue molti anni or sono io lessi exiles in manoscritto quella cara calligrafia che tutti ora conoscono che io amo ma che non so leggere correntemente se non è dedicata a segni italiani neppure la rappresentazione mi diede tutta la commedia il cui testo spero di avere questa sera specialmente l ultimo discorso di rowan che suppongo tanto importante per la rivelazione delle molle più misteriose che lo fanno agire a me e a livia sfuggi interamente forse anche perché eravamo un po lontani dalla scena di solito a londra sediamo tanto vicini agli attori che quando diciamo i beg your pardon gli attori se sono buoni ripetono la frase ho fretta di avere il libro perché giovedì tento di passare gratis al debate on exiles e vorrei aver capito l opera interamente la black roberts per me fu un attrice indimenticabile non dev essere mica facile di rappresentare una donna cui non deve mancare certa pratica della vita e farvi risonare l ingenuità con la chiarezza di un suono di campana e con la misura che l ingenuità deve serbare per essere sentita autentica invece di un applauso le mandai un bacio e spero lo avrà sentito almeno come quelli di robert hand rupert harvey mi diede una grande sorpresa non so se sia voluto ma si muove siede s alza e guarda come lei amerei ora di rivederlo in altra parte per intendere meglio questa è certo un attore valoroso mi parve come un uomo che amerebbe di agire senza dover dar conto delle proprie azioni non c è esitazione in lui ma la spiegazione che concede è fatta sempre con voce moderatissima quasi desiderasse che qualche sua parola non fosse intesa dai suoi interlocutori spesso ciò gli riusci con me visto che parlò sempre in inglese bene william stak che all ultimo momento assunse la parte di robert hand però la sua parte è la più facile delle tre pubblico magnifico ma qualche bestione doveva esserci accanto a me un signore disse they want to force on us ltalian ways degl italiani si sa anzi che sono gelosi anche quando non amano molti applausi più fragorosi dopo il primo e secondo atto spero di vederla a parigi per qualche momento almeno il corrente suo affezionatissimo ettore schmitz ha visto l articolo del corriere della sera di g caprin dell undici corrente guai se continua cosi meno il furto mi rimprovera tutti gli altri delitti dio sa quello che penseranno cré mieux e larbaud e anche lei vi figura con rispetto ma vi figura povero joyce,Ettore Schmitz,positive,joy
8,1926,church lane charlton s e giugno caro amico eugenio montale critico di una certa fama in italia vorrebbe pubblicare sulla fiera letteraria uno studio su gens de dublin e ciò nei prossimi giorni com egli mi scrive vorrebbe però accompagnare l articolo con una sua fotografia potrebbe mandargliela direttamente all indirizzo seguente via privata piaggio genova gliene sarebbe grato per non disturbarla mi sarei quasi rivolto alla signorina beach ma poi poteva costare perdita di tempo se essa doveva rivolgersi a lei spero che la presente la trovi in buona salute mi tocco il naso fino a schiacciarlo io sarò a parigi l o di luglio anche questa volta mi basterà di venir a stringerle la mano siamo in perché oggi vengo raggiunto a londra da mia figlia e da mio genero e resteremo a parigi solo due o tre giorni occupatissimi a far loro vedere la grande città certo io amerei di poter stringere la mano al signor larbaud ma non desidero di seccarlo a tutta la sua famiglia da parte di mia moglie e mia i più cordiali saluti mi creda caro joyce suo devotissimo ettore schmitz,Ettore Schmitz,negative,sadness
9,1926,trieste li settembre caro amico le invio la fiera letteraria del corrente con l articolo di montale su dubliners forse lei non l ha avuto ancora mi pare interessante montale non ricevette il ritratto che per lui le avevo domandato deve essere andato smarrito appartiene alla sua famiglia un j joyce che nel pubblicò a trieste recollections of the salz kammergut ischi salzburg bad gastein with a sketch of trieste il libro fu scovato da mio genero per la sua collezione di storia patria io vidi per un istante suo fratello al bagno di mare e mi disse che si sposa in ottobre v è la speranza di vedervi tutti qui salutandola caramente suo devotissimo ettore schmitz,Ettore Schmitz,negative,joy
10,1927,all egregio sig ettore schmitz fabbrica veneziani chiarbola superiore trieste x italie caro amico la rhein verlag lipsia che pubblicherà ulisse in tedesco il co rren te in voi legati a franchi l esemplare desidera pubblicare anche una traduzione del suo libro la coscienza di zeno ho parlato ieri col loro reader che le scriverà fra poco tante buone cose j j,James Joyce,positive,joy
