word,1885,1886,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1918,1919,1921,1922,1923,1924,1925,1926,1927,1928
essere,14,6,135,105,98,733,481,350,932,71,515,51,132,343,37,455,33,269,448,140,482,65,36,10,7,14,113,6,55,148,522,413,237
avere,7,2,66,68,50,485,340,199,567,63,435,44,114,235,21,329,28,184,304,82,348,44,16,1,6,7,69,4,46,69,388,268,129
potere,6,1,20,22,13,154,106,52,161,11,82,11,28,51,5,76,5,38,63,20,78,10,6,4,1,3,10,1,14,39,113,81,43
molto,4,4,51,25,21,196,112,122,290,32,174,16,43,112,10,147,13,69,101,29,103,8,11,2,0,2,25,1,18,29,139,120,78
c’,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cairo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elio,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
male,3,1,6,5,1,21,23,11,26,8,24,4,8,20,3,19,2,8,24,5,28,1,1,0,2,0,11,0,1,1,14,7,1
motivo,3,0,0,0,1,2,5,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
poco,3,0,7,13,10,48,52,28,60,6,42,4,15,30,3,23,2,22,19,11,26,1,2,0,0,1,10,0,4,9,26,22,14
sapere,3,0,16,12,14,74,80,38,127,9,65,5,16,39,5,63,6,22,46,11,62,14,4,3,1,3,16,2,10,24,97,51,41
sempre,3,1,15,7,4,52,34,18,52,7,33,1,5,11,4,13,0,11,23,3,18,2,1,1,0,2,7,0,3,7,22,14,16
albumina,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altro,2,0,14,16,12,66,46,41,94,2,44,6,10,25,3,39,1,19,31,19,46,6,3,2,0,1,14,0,6,20,59,44,22
bene,2,0,4,5,2,36,41,20,59,15,56,5,21,28,5,26,3,21,36,6,52,5,5,1,1,0,14,1,4,6,26,17,11
buono,2,0,5,10,6,34,31,27,52,5,25,5,8,15,2,25,4,5,21,4,15,3,2,3,0,1,1,0,3,5,21,12,9
capire,2,0,5,3,2,4,11,2,31,2,15,4,4,8,0,10,0,11,14,2,2,0,1,0,0,1,1,0,0,0,3,2,4
caro,2,0,7,6,1,46,47,70,154,22,124,21,47,53,12,104,10,53,61,18,111,12,12,4,1,3,26,1,10,10,93,71,32
comunicare,2,0,0,0,0,4,3,2,5,1,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,2,2,3,0
cosi,2,0,12,3,13,47,40,17,36,6,30,2,13,16,3,35,0,33,41,11,34,3,1,0,0,0,8,1,3,6,24,12,13
cura,2,0,0,0,0,12,21,3,12,0,9,0,0,2,0,4,1,3,4,0,16,1,0,0,0,0,15,0,0,1,4,17,10
d’,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dovere,2,0,11,8,14,92,48,38,138,12,43,3,21,52,2,54,4,23,43,7,54,7,6,1,2,1,16,0,8,10,50,42,21
facile,2,0,0,1,0,9,3,3,5,0,4,0,0,1,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,10,3,3
fare,2,4,34,31,24,219,189,108,264,29,175,12,49,113,8,171,14,84,130,50,152,15,12,1,2,6,39,0,21,44,151,107,75
